,ident,aircrafttype,filed_ete,filed_time,filed_departuretime,filed_airspeed_kts,filed_airspeed_mach,filed_altitude,route,actualdeparturetime,estimatedarrivaltime,actualarrivaltime,diverted,origin,destination,originName,originCity,destinationName,destinationCity
NKS1030,NKS1030,A320,01:02:00,1538352864,1538351700,430,,296,SWANN3 OOD J42 RBV J222 JFK ROBUC3,1538351760,1538355300,1538355300,,KBWI,KBOS,Baltimore/Washington Intl,"Baltimore, MD",Boston Logan Intl,"Boston, MA"
NKS1030,NKS1030,A320,02:58:00,1538335239,1538333700,447,,330,MYDIA M219 KNOST CRG J121 CHS J79 TYI J40 JAGEM THHMP RAVNN6,1538333920,1538344613,1538344613,,MMUN,KBWI,Cancun Int'l,"Cancun, Quintana Roo",Baltimore/Washington Intl,"Baltimore, MD"
NKS1030,NKS1030,A320,00:54:00,1538266334,1538265300,420,,310,3955N/07454W NEWES ROBUC3,1538265285,1538268641,1538268641,,KBWI,KBOS,Baltimore/Washington Intl,"Baltimore, MD",Boston Logan Intl,"Boston, MA"
NKS1030,NKS1030,A320,02:58:00,1538248526,1538247300,447,,370,MYDIA M219 KNOST CRG J121 CHS J79 TYI J40 JAGEM THHMP RAVNN6,1538247402,1538257955,1538257955,,MMUN,KBWI,Cancun Int'l,"Cancun, Quintana Roo",Baltimore/Washington Intl,"Baltimore, MD"
NKS1030,NKS1030,A320,01:01:00,1537853153,1538092500,430,,310,SWANN3 OOD J42 RBV J222 JFK ROBUC3,1538095785,1538098878,1538098878,,KBWI,KBOS,Baltimore/Washington Intl,"Baltimore, MD",Boston Logan Intl,"Boston, MA"
NKS1030,NKS1030,A320,03:04:00,1537853153,1538074500,460,,370,MYDIA M219 KNOST CRG J121 CHS J79 TYI J40 JAGEM THHMP RAVNN6,1538078657,1538088681,1538088681,,MMUN,KBWI,Cancun Int'l,"Cancun, Quintana Roo",Baltimore/Washington Intl,"Baltimore, MD"
NKS1030,NKS1030,A320,01:06:00,1537749789,1537746900,470,,277,SWANN3 OOD J42 RBV J222 JFK ROBUC3,1537748699,1537752470,1537752470,,KBWI,KBOS,Baltimore/Washington Intl,"Baltimore, MD",Boston Logan Intl,"Boston, MA"
NKS1030,NKS1030,A320,02:59:00,1537730870,1537728900,460,,350,MYDIA M219 KNOST CRG J121 CHS J79 TYI J40 JAGEM THHMP RAVNN6,1537729578,1537740242,1537740242,,MMUN,KBWI,Cancun Int'l,"Cancun, Quintana Roo",Baltimore/Washington Intl,"Baltimore, MD"
NKS1030,NKS1030,A320,01:01:00,1537665766,1537660500,420,,310,SWANN3 OOD J42 RBV J222 JFK ROBUC3,1537664869,1537668256,1537668256,,KBWI,KBOS,Baltimore/Washington Intl,"Baltimore, MD",Boston Logan Intl,"Boston, MA"
NKS1030,NKS1030,A320,02:59:00,1537646279,1537642500,460,,370,MYDIA M219 KNOST CRG J121 CHS J79 TYI J40 JAGEM THHMP RAVNN6,1537645255,1537655706,1537655706,,MMUN,KBWI,Cancun Int'l,"Cancun, Quintana Roo",Baltimore/Washington Intl,"Baltimore, MD"
