,actualarrivaltime,actualdeparturetime,aircrafttype,destination,destinationCity,destinationName,diverted,estimatedarrivaltime,filed_airspeed_kts,filed_airspeed_mach,filed_altitude,filed_departuretime,filed_ete,filed_time,ident,origin,originCity,originName,route
0,0,0,A320,KBOS,"Boston, MA",Boston Logan Intl,,1539110220,380,,0,1539102420,02:10:00,1538889926,JBU404,KATL,"Atlanta, GA",Hartsfield-Jackson Intl,
1,0,0,A320,KBOS,"Boston, MA",Boston Logan Intl,,1539023564,460,,350,1539016020,01:58:00,1538803552,JBU404,KATL,"Atlanta, GA",Hartsfield-Jackson Intl,PLMMR2 SPA Q22 BEARI THHMP MAAXY OOD J42 RBV J222 JFK ROBUC3
2,0,1538929551,A320,KBOS,"Boston, MA",Boston Logan Intl,,1538936760,460,,350,1538929620,02:00:00,1538930003,JBU404,KATL,"Atlanta, GA",Hartsfield-Jackson Intl,PLMMR2 SPA Q22 BEARI THHMP MAAXY OOD J42 RBV J222 JFK ROBUC3
3,1538764667,1538757153,A320,KBOS,"Boston, MA",Boston Logan Intl,,1538764667,460,,350,1538756820,02:10:00,1538757626,JBU404,KATL,"Atlanta, GA",Hartsfield-Jackson Intl,PLMMR2 SPA Q22 BEARI THHMP MAAXY OOD J42 RBV J222 JFK ROBUC3
4,1538678788,1538670705,A320,KBOS,"Boston, MA",Boston Logan Intl,,1538678788,460,,350,1538670420,02:34:00,1538671698,JBU404,KATL,"Atlanta, GA",Hartsfield-Jackson Intl,PLMMR2 SPA Q22 BEARI THHMP MAAXY OOD J42 RBV J222 LAURN J222 JFK ROBUC3
5,1538594776,1538587200,A320,KBOS,"Boston, MA",Boston Logan Intl,,1538594776,460,,350,1538584020,02:04:00,1538588207,JBU404,KATL,"Atlanta, GA",Hartsfield-Jackson Intl,PLMMR2 SPA Q22 BEARI THHMP MAAXY OOD J42 DAVYS J42 RBV J222 JFK ROBUC3
6,1538510400,1538502240,A320,KBOS,"Boston, MA",Boston Logan Intl,,1538510400,450,,370,1538497620,01:56:00,1538503302,JBU404,KATL,"Atlanta, GA",Hartsfield-Jackson Intl,PLMMR2 SPA Q22 BEARI THHMP MAAXY OOD J42 DAVYS J42 RBV J222 JFK ROBUC3
7,1538419235,1538411820,A320,KBOS,"Boston, MA",Boston Logan Intl,,1538419235,450,,370,1538411220,02:13:00,1538412940,JBU404,KATL,"Atlanta, GA",Hartsfield-Jackson Intl,PLMMR2 SPA Q22 BEARI THHMP MAAXY OOD J42 RBV J222 JFK ROBUC3
8,1538333722,1538326287,A320,KBOS,"Boston, MA",Boston Logan Intl,,1538333722,460,,350,1538324820,02:04:00,1538327386,JBU404,KATL,"Atlanta, GA",Hartsfield-Jackson Intl,PLMMR2 SPA Q22 BEARI THHMP MAAXY OOD J42 RBV J222 JFK ROBUC3
9,1538163155,1538155003,A320,KBOS,"Boston, MA",Boston Logan Intl,,1538163155,460,,350,1538152020,02:18:00,1537939558,JBU404,KATL,"Atlanta, GA",Hartsfield-Jackson Intl,PLMMR2 SPA Q22 BEARI THHMP MAAXY OOD J42 RBV J222 JFK ROBUC3
10,1538073458,1538066645,A320,KBOS,"Boston, MA",Boston Logan Intl,,1538073458,460,,350,1538065620,01:58:00,1537853145,JBU404,KATL,"Atlanta, GA",Hartsfield-Jackson Intl,PLMMR2 SPA Q22 BEARI THHMP MAAXY OOD J42 DAVYS J42 RBV J222 JFK ROBUC3
11,1537993168,1537985413,A320,KBOS,"Boston, MA",Boston Logan Intl,,1537993168,460,,350,1537979220,02:07:00,1537766749,JBU404,KATL,"Atlanta, GA",Hartsfield-Jackson Intl,PLMMR2 SPA Q22 BEARI THHMP MAAXY OOD J42 RBV J222 JFK ROBUC3
12,1537814726,1537806927,A320,KBOS,"Boston, MA",Boston Logan Intl,,1537814726,460,,350,1537806420,02:03:00,1537808081,JBU404,KATL,"Atlanta, GA",Hartsfield-Jackson Intl,PLMMR2 SPA Q22 BEARI THHMP MAAXY OOD J42 RBV J222 JFK ROBUC3
13,1537727488,1537720636,A320,KBOS,"Boston, MA",Boston Logan Intl,,1537727488,460,,350,1537720020,01:57:00,1537721666,JBU404,KATL,"Atlanta, GA",Hartsfield-Jackson Intl,PLMMR2 SPA Q22 MASHI Q22 BEARI THHMP MAAXY OOD J42 RBV J222 JFK ROBUC3
0,0,0,MD88,KATL,"Atlanta, GA",Hartsfield-Jackson Intl,,1539115080,326,,0,1539110460,01:17:00,1538889929,DAL1926,KRIC,"Richmond, VA",Richmond Intl,
1,0,0,MD88,KRIC,"Richmond, VA",Richmond Intl,,1539106620,375,,0,1539102600,01:07:00,1538889929,DAL1926,KATL,"Atlanta, GA",Hartsfield-Jackson Intl,
2,0,0,MD88,KATL,"Atlanta, GA",Hartsfield-Jackson Intl,,1539028680,326,,0,1539024060,01:17:00,1538803551,DAL1926,KRIC,"Richmond, VA",Richmond Intl,
3,0,0,MD88,KRIC,"Richmond, VA",Richmond Intl,,1539020220,460,,330,1539016200,01:07:00,1538803551,DAL1926,KATL,"Atlanta, GA",Hartsfield-Jackson Intl,JACCC2 KELLN BYJAC Q60 JAXSN KELCE DUCXS4
4,0,0,MD88,KATL,"Atlanta, GA",Hartsfield-Jackson Intl,,1538941860,445,,340,1538937480,01:13:00,1538717162,DAL1926,KRIC,"Richmond, VA",Richmond Intl,KALLI4 LYH FLASK OZZZI1
5,1538933601,1538929440,MD88,KRIC,"Richmond, VA",Richmond Intl,,1538933601,447,,330,1538929620,01:06:00,1538717162,DAL1926,KATL,"Atlanta, GA",Hartsfield-Jackson Intl,JACCC2 KELLN BYJAC Q60 JAXSN KELCE DUCXS4
6,1538847600,1538843752,B739,KRIC,"Richmond, VA",Richmond Intl,,1538847600,472,,330,1538843400,01:05:00,1538844275,DAL1926,KATL,"Atlanta, GA",Hartsfield-Jackson Intl,JACCC2 KELLN BYJAC Q60 JAXSN KELCE DUCXS4
7,1538768735,1538764560,MD88,KATL,"Atlanta, GA",Hartsfield-Jackson Intl,,1538768735,446,,340,1538764860,01:09:00,1538544383,DAL1926,KRIC,"Richmond, VA",Richmond Intl,KALLI4 LYH FLASK OZZZI1
8,1538761247,1538757174,MD88,KRIC,"Richmond, VA",Richmond Intl,,1538761247,449,,330,1538757000,01:00:00,1538544383,DAL1926,KATL,"Atlanta, GA",Hartsfield-Jackson Intl,JACCC2 KELLN BYJAC Q60 JAXSN KELCE DUCXS4
9,1538684664,1538680517,M88,KATL,"Atlanta, GA",Hartsfield-Jackson Intl,,1538684664,446,,340,1538678460,01:02:00,1538681514,DAL1926,KRIC,"Richmond, VA",Richmond Intl,KALLI4 LYH FLASK OZZZI1
10,1538677098,1538672810,MD88,KRIC,"Richmond, VA",Richmond Intl,,1538677098,449,,330,1538670600,01:03:00,1538673757,DAL1926,KATL,"Atlanta, GA",Hartsfield-Jackson Intl,JACCC2 KELLN BYJAC Q60 JAXSN KELCE DUCXS4
11,1538596418,1538592300,M88,KATL,"Atlanta, GA",Hartsfield-Jackson Intl,,1538596418,438,,360,1538592060,01:07:00,1538371567,DAL1926,KRIC,"Richmond, VA",Richmond Intl,KALLI4 LYH FLASK OZZZI1
