EVY,"34 Squadron, Royal Australian Air Force",,Australia
GNL,135 Airways,GENERAL,United States
,Hitit Computer Services,,Turkey
WYT,2 Sqn No 1 Elementary Flying Training School,WYTON,United Kingdom
TFU,213th Flight Unit,THJY,Russia
CHD,223rd Flight Unit,CHKALOVSK-AVIA,Russia
TTF,224th Flight Unit,CARGO UNIT,Russia
TWF,247 Jet Ltd,CLOUD RUNNER,United Kingdom
SEC,3D Aviation,SECUREX,United States
MLA,40-Mile Air,MILE-AIR,United States
QRT,4D Air,QUARTET,Thailand
PIU,43 Air School,PRIMA,South Africa
SEK,Star East Airline,,Romania
AIJ,Interjet,ABC Aerolineas,Mexico
XRC,Express Air Cargo,,Tunisia
BRO,2Excel Aviation,BROADSWORD,United Kingdom
WSN,Advanced Air,WINGSPAN,United States
GBT,A-Jet Aviation Aircraft Management,GLOBETROTTER,Austria
AJR,A-Jet Aviation Company,JET MONGOLIA,Mongolia
SFM,A-Safar Air Services,AIR SAFAR,Nigeria
AJJ,A2 Jet Leasing,ATLANTIC JET,United States
XXV,AASANA,,Bolivia
LEP,Air Costa,LECOSTA,India
NKP,Abakan Air,ABAKAN AIR,Russian Federation
ADD,Advanced Air,,Japan
OWN,Aero Owen,AERO OWEN,Mexico
ASR,Aero Sotravia,SOTRAVIA,France
ARH,Aerohelicopteros,AEROHELCA,Venezuela
VMX,Aeroventas de Mexico,VENTA,Mexico
ACC,Airspeed Charter,,Jamaica
FSY,Algonquin Airlink,FROSTY,Canada
TTX,Alliance Air Charters,TWISTER,United States
ALN,Alpha Jet,TOLEMAC,Slovakia
UJX,Atlas Ukraine Airlines,ATLAS UKRAINE,Ukraine
RGR,Avior Regional,AVIOR REGIONAL,Venezuela
NGF,Air Charity Network,ANGEL FLIGHT,United States
WFT,Aircharters Worldwide,WORLD FLIGHT,United States
ATT,Attawasol Airlines,ATTAWASOL AIR,Libya
EDY,Apollo Air Service,STOBART,United Kingdom
IWY,InterCaribbean Airways,ISLANDWAYS,Turks and Caicos Islands
ASL,Air Serbia,AIR SERBIA,Serbia
LYN,Air Kyrgyzstan,ALTYN AVIA,Kyrgyzstan
CCM,Air Corsica,CORSICA,France
AHS,AHS Air International,HIGH SKY,Pakistan
ROH,Aberdair Aviation Ghana,,Ghana
ROO,Aero Roa,AERO ROA,Mexico
AWF,Aeroforward,,United States
SUP,Aeronautical Charters,SUN SPEED,United States
PSO,Aerotaxis Pegaso,AEROPEGASO,Mexico
VLB,Air Volta,VOLTA,Bulgaria
WAS,Air-Watania,,Iraq
FCJ,AirSprint US,FRACJET,United States
TEW,Airteam Charter,TEAMWORK,South Africa
STT,Alpha Star Charter,STAR CHARTER,Saudi Arabia
LBZ,Angkasa Super Service,,Indonesia
HEZ,Arrow Aviation,ARROW,Israel
UAH,"Air Experience Flight,?Cranwell",,United Kingdom
DRO,Adro Servicios Aereos,ADRO SERVICIOS,Mexico
RVQ,Aero Jet International,REVA AIR,United States
ASK,Aerosky,MULTISKY,Spain
AEH,Aero4m,AEROCUTTER,Slovenia
ERO,Aeroecom,AEROECOM,Venezuela
XAU,Aerolink Uganda,PEARL,Uganda
