,actualarrivaltime,actualdeparturetime,aircrafttype,destination,destinationCity,destinationName,estimatedarrivaltime,ident,origin,originCity,originName
KATL,0,1538961698,B712,KABE,"Allentown, PA",Lehigh Valley Intl,1538967360,DAL1794,KATL,"Atlanta, GA",Hartsfield-Jackson Intl
KATL,0,1538961599,B752,KMCI,"Kansas City, MO",Kansas City Intl,1538966880,DAL2002,KATL,"Atlanta, GA",Hartsfield-Jackson Intl
KATL,0,1538961500,B712,KLFT,"Lafayette, LA",Lafayette Rgnl/Paul Fournet Field,1538965620,DAL744,KATL,"Atlanta, GA",Hartsfield-Jackson Intl
KATL,0,1538961453,MD90,KSDF,"Louisville, KY",Louisville Intl,1538964060,DAL2605,KATL,"Atlanta, GA",Hartsfield-Jackson Intl
KATL,0,1538961412,MD90,KELP,"El Paso, TX",El Paso Intl,1538970780,DAL2293,KATL,"Atlanta, GA",Hartsfield-Jackson Intl
KATL,0,1538961300,CRJ9,KTYS,"Knoxville, TN",Mc Ghee Tyson,1538963610,EDV5297,KATL,"Atlanta, GA",Hartsfield-Jackson Intl
KATL,0,1538961240,MD88,KORD,"Chicago, IL",Chicago O'Hare Intl,1538966160,DAL2241,KATL,"Atlanta, GA",Hartsfield-Jackson Intl
KATL,0,1538961183,B737,KBWI,"Baltimore, MD",Baltimore/Washington Intl,1538966400,SWA5743,KATL,"Atlanta, GA",Hartsfield-Jackson Intl
KATL,0,1538961113,MD88,KTLH,"Tallahassee, FL",Tallahassee Intl,1538962860,DAL1669,KATL,"Atlanta, GA",Hartsfield-Jackson Intl
KATL,0,1538961049,A321,KAUS,"Austin, TX",Austin-Bergstrom Intl,1538967180,DAL2417,KATL,"Atlanta, GA",Hartsfield-Jackson Intl
KATL,0,1538960936,A320,KDCA,"Washington, DC",Reagan National,1538965140,DAL2787,KATL,"Atlanta, GA",Hartsfield-Jackson Intl
KATL,0,1538960931,B77W,LFPG,Paris,Charles de Gaulle/Roissy,1538987940,AFR689,KATL,"Atlanta, GA",Hartsfield-Jackson Intl
KATL,0,1538960820,B752,KMSP,"Minneapolis, MN",Minneapolis/St Paul Intl,1538967720,DAL356,KATL,"Atlanta, GA",Hartsfield-Jackson Intl
KATL,0,1538960765,A321,KRDU,"Raleigh/Durham, NC",Raleigh-Durham Intl,1538963880,DAL2838,KATL,"Atlanta, GA",Hartsfield-Jackson Intl
KATL,0,1538960760,MD90,KCLE,"Cleveland, OH",Cleveland-Hopkins Intl,1538964960,DAL2548,KATL,"Atlanta, GA",Hartsfield-Jackson Intl
KBWI,0,1538961208,B744,KIAH,"Houston, TX",Houston Bush Int'ctl,1538970420,GTI8547,KBWI,"Baltimore, MD",Baltimore/Washington Intl
KBWI,0,1538960818,A319,KSFO,"San Francisco, CA",San Francisco Intl,1538979720,ASA1127,KBWI,"Baltimore, MD",Baltimore/Washington Intl
KBWI,0,1538960580,LJ55,KTEB,"Teterboro, NJ",Teterboro,1538962755,N211GS,KBWI,"Baltimore, MD",Baltimore/Washington Intl
KBWI,0,1538960388,B737,KMCO,"Orlando, FL",Orlando Intl,1538967180,SWA4825,KBWI,"Baltimore, MD",Baltimore/Washington Intl
KBWI,0,1538960280,LJ60,KAGC,"Pittsburgh, PA",Allegheny County,1538962132,N156DH,KBWI,"Baltimore, MD",Baltimore/Washington Intl
KBWI,0,1538959920,E190,KBOS,"Boston, MA",Boston Logan Intl,1538963340,JBU1326,KBWI,"Baltimore, MD",Baltimore/Washington Intl
KBWI,0,1538959834,B752,BIKF,Keflavik,Keflavik Int'l,1538978100,ICE642,KBWI,"Baltimore, MD",Baltimore/Washington Intl
KBWI,0,1538959656,B737,KIND,"Indianapolis, IN",Indianapolis Intl,1538964420,SWA3129,KBWI,"Baltimore, MD",Baltimore/Washington Intl
KBWI,0,1538959440,B737,KPVD,"Providence, RI",Green State,1538962380,SWA2660,KBWI,"Baltimore, MD",Baltimore/Washington Intl
KBWI,0,1538959380,B737,KBUF,"Buffalo, NY",Buffalo Niagara Intl,1538961900,SWA3433,KBWI,"Baltimore, MD",Baltimore/Washington Intl
KBWI,0,1538959073,B738,KLAS,"Las Vegas, NV",McCarran Intl,1538974800,SWA3578,KBWI,"Baltimore, MD",Baltimore/Washington Intl
KBWI,0,1538958945,E170,KORD,"Chicago, IL",Chicago O'Hare Intl,1538964840,ENY3396,KBWI,"Baltimore, MD",Baltimore/Washington Intl
KBWI,1538961300,1538958480,B737,KBDL,"Windsor Locks, CT",Bradley Intl,1538961300,SWA3547,KBWI,"Baltimore, MD",Baltimore/Washington Intl
KBWI,0,1538958420,A320,KIAH,"Houston, TX",Houston Bush Int'ctl,1538968200,NKS1117,KBWI,"Baltimore, MD",Baltimore/Washington Intl
KBWI,0,1538958305,B737,KMHT,"Manchester, NH",Manchester,1538961960,SWA5195,KBWI,"Baltimore, MD",Baltimore/Washington Intl
KBOS,0,1538961720,E190,KLGA,"New York, NY",LaGuardia,1538964480,AAL2157,KBOS,"Boston, MA",Boston Logan Intl
KBOS,0,1538961709,E190,KJFK,"New York, NY",John F Kennedy Intl,1538964300,JBU317,KBOS,"Boston, MA",Boston Logan Intl
KBOS,0,1538961540,E190,KCLE,"Cleveland, OH",Cleveland-Hopkins Intl,1538966820,JBU1841,KBOS,"Boston, MA",Boston Logan Intl
KBOS,0,1538961300,B738,KTPA,"Tampa, FL",Tampa Intl,1538970840,DAL1894,KBOS,"Boston, MA",Boston Logan Intl
KBOS,0,1538961060,B738,KORD,"Chicago, IL",Chicago O'Hare Intl,1538969220,AAL2387,KBOS,"Boston, MA",Boston Logan Intl
KBOS,0,1538961059,A320,KFLL,"Fort Lauderdale, FL",Fort Lauderdale Intl,1538971620,JBU2469,KBOS,"Boston, MA",Boston Logan Intl
KBOS,0,1538960955,PC12,KTTN,"Trenton, NJ",Trenton Mercer,1538965272,CNS176,KBOS,"Boston, MA",Boston Logan Intl
KBOS,0,1538960820,E190,KRDU,"Raleigh/Durham, NC",Raleigh-Durham Intl,1538966880,JBU1583,KBOS,"Boston, MA",Boston Logan Intl
KBOS,0,1538960760,E145,KMDT,"Harrisburg, PA",Harrisburg Intl,1538964060,PDT4876,KBOS,"Boston, MA",Boston Logan Intl
KBOS,0,1538960698,B738,KCMH,"Columbus, OH",John Glenn Columbus Intl Airport,1538966640,SWA2673,KBOS,"Boston, MA",Boston Logan Intl
KBOS,0,1538960534,E190,KDCA,"Washington, DC",Reagan National,1538965200,JBU1489,KBOS,"Boston, MA",Boston Logan Intl
KBOS,0,1538960385,A359,EDDM,Munich,Munich Int'l,1538983020,DLH425,KBOS,"Boston, MA",Boston Logan Intl
KBOS,0,1538960199,A321,KSEA,"Seattle, WA",Seattle-Tacoma Intl,1538981160,JBU197,KBOS,"Boston, MA",Boston Logan Intl
KBOS,0,1538959740,B738,KBWI,"Baltimore, MD",Baltimore/Washington Intl,1538963760,SWA3098,KBOS,"Boston, MA",Boston Logan Intl
KCLT,0,1538961600,A321,KSLC,"Salt Lake City, UT",Salt Lake City Intl,1538974620,AAL807,KCLT,"Charlotte, NC",Charlotte/Douglas Intl
KCLT,0,1538961579,CRJ9,KMHT,"Manchester, NH",Manchester,1538967420,JIA5655,KCLT,"Charlotte, NC",Charlotte/Douglas Intl
KCLT,0,1538961435,CRJ9,KPHL,"Philadelphia, PA",Philadelphia Intl,1538965380,JIA9909,KCLT,"Charlotte, NC",Charlotte/Douglas Intl
KCLT,0,1538961315,B738,KJFK,"New York, NY",John F Kennedy Intl,1538966160,AAL1267,KCLT,"Charlotte, NC",Charlotte/Douglas Intl
KCLT,0,1538961192,A320,KDCA,"Washington, DC",Reagan National,1538964360,AAL545,KCLT,"Charlotte, NC",Charlotte/Douglas Intl
KCLT,0,1538961017,CRJ9,KCHO,"Charlottesville, VA",Charlottesville-Albemarle,1538963340,JIA5325,KCLT,"Charlotte, NC",Charlotte/Douglas Intl
KCLT,0,1538961000,A321,KMCO,"Orlando, FL",Orlando Intl,1538965140,AAL1879,KCLT,"Charlotte, NC",Charlotte/Douglas Intl
KCLT,0,1538961000,CRJ2,KLEX,"Lexington, KY",Blue Grass,1538963580,JIA5410,KCLT,"Charlotte, NC",Charlotte/Douglas Intl
KCLT,0,1538960955,B738,KBOS,"Boston, MA",Boston Logan Intl,1538967120,AAL2598,KCLT,"Charlotte, NC",Charlotte/Douglas Intl
