,aircrafttype,filed_airspeed_kts,filed_altitude,origin,destination,filed_departuretime_week,filed_departuretime_hr,estimatedarrivaltime_hr,airline,dep_delay_min,diff_flt,aircraft_manuf,delay
0,0.0,430,296,4,2,1,19,20,7,1.0,-3.0,1,0
1,0.0,447,330,30,23,1,14,17,7,3.6666666666666665,0.21666666666666856,1,0
2,0.0,420,310,4,2,0,19,20,7,-0.25,1.9333333333333305,1,0
3,0.0,447,370,30,23,0,14,17,7,1.7,-2.1166666666666742,1,0
4,0.0,430,310,4,2,2,19,21,7,54.75,-9.450000000000003,1,0
5,0.0,460,370,30,23,2,14,18,7,69.28333333333333,-16.933333333333334,1,0
6,0.0,470,277,4,2,1,19,21,7,29.98333333333333,-3.1499999999999986,1,0
7,0.0,460,350,30,23,1,14,18,7,11.3,-1.26666666666668,1,0
8,0.0,420,310,4,2,0,19,22,7,72.81666666666666,-4.549999999999997,1,0
9,0.0,460,370,30,23,0,14,18,7,45.91666666666666,-4.816666666666663,1,0
10,0.0,430,310,4,2,2,19,20,7,0.0,-11.016666666666666,1,0
11,0.0,460,370,30,23,2,14,18,7,-8.116666666666667,7.533333333333331,1,0
12,12.0,410,270,4,2,1,20,21,5,7.333333333333332,-3.3333333333333366,2,0
13,12.0,400,270,4,2,0,20,20,5,-12.0,2.0,2,0
14,12.0,410,270,4,2,3,20,21,5,16.0,-25.0,2,0
15,12.0,400,270,4,2,2,20,21,5,3.2,-3.200000000000003,2,0
16,12.0,410,270,4,2,5,20,0,5,159.91666666666666,10.849999999999996,2,0
17,12.0,410,270,4,2,6,20,22,5,55.0,13.183333333333335,2,0
18,12.0,410,270,4,2,4,20,21,5,2.0,0.0,2,0
19,12.0,410,270,4,2,1,20,21,5,24.45,-0.06666666666666997,2,0
20,12.0,400,270,4,2,0,20,21,5,18.483333333333334,-30.48333333333333,2,0
21,12.0,410,270,4,2,3,20,21,5,32.81666666666667,-29.70000000000001,2,0
22,12.0,420,270,4,2,2,20,21,5,47.96666666666667,-13.93333333333333,2,0
23,9.0,354,190,4,10,0,20,20,14,-17.0,-3.1333333333333333,2,0
24,9.0,356,190,4,10,3,20,21,14,34.0,-9.0,2,0
25,9.0,349,190,4,10,2,20,21,14,16.116666666666667,8.0,2,0
26,9.0,358,190,4,10,4,20,20,14,-5.0,-1.4333333333333302,2,0
27,9.0,347,190,4,10,0,20,20,14,0.0,-1.0,2,0
28,23.0,363,210,4,10,3,20,21,14,51.53333333333333,7.466666666666669,4,0
29,9.0,367,170,4,10,2,20,21,14,21.73333333333333,5.266666666666667,2,0
31,25.0,468,240,51,25,1,23,0,17,-3.683333333333333,8.68333333333333,6,0
32,25.0,473,250,29,141,1,20,21,17,4.0,24.48333333333333,6,0
33,25.0,453,430,4,25,0,19,1,17,45.33333333333334,-11.683333333333335,6,0
34,25.0,451,200,73,23,0,16,18,17,91.0,4.416666666666664,6,0
35,25.0,255,60,78,161,0,11,11,17,-20.216666666666665,2.216666666666665,6,1
36,2.0,422,220,4,9,0,19,20,3,4.366666666666666,-10.15,0,0
37,2.0,446,410,26,23,0,17,18,3,8.233333333333333,-9.333333333333329,0,0
38,2.0,429,220,4,9,0,19,20,3,-4.0,-2.31666666666667,0,0
39,2.0,450,410,26,23,0,17,18,3,-8.0,-5.0,0,0
40,2.0,450,400,4,69,0,19,22,3,9.0,-12.0,0,0
41,2.0,455,380,4,69,0,19,22,3,16.366666666666667,5.433333333333337,0,0
42,0.0,450,360,4,12,4,19,21,7,-0.85,-19.75,1,0
43,0.0,450,360,4,12,1,19,21,7,4.466666666666667,-18.86666666666666,1,0
44,0.0,460,340,4,12,0,19,21,7,-6.4,-9.599999999999994,1,0
45,0.0,470,340,4,12,3,19,21,7,0.7666666666666667,1.2166666666666686,1,0
46,0.0,450,380,4,12,2,19,21,7,6.3,-21.13333333333334,1,0
47,0.0,450,360,4,12,4,19,21,7,5.883333333333334,-13.783333333333333,1,0
48,0.0,470,340,4,12,1,19,22,7,72.95,-14.766666666666666,1,0
49,0.0,460,360,4,12,0,19,23,7,90.36666666666666,-16.83333333333333,1,0
50,0.0,460,340,4,12,3,19,23,7,108.66666666666669,-16.33333333333333,1,0
51,0.0,460,340,4,12,2,19,21,7,-1.7166666666666666,-10.799999999999995,1,0
52,0.0,460,360,4,12,4,19,21,7,11.633333333333333,-18.433333333333334,1,0
53,2.0,450,380,4,51,1,19,21,3,16.95,-3.950000000000003,0,0
54,2.0,453,380,4,51,0,19,21,3,2.0,1.0,0,0
55,2.0,448,400,4,51,1,19,22,3,23.63333333333333,-23.68333333333333,0,0
56,2.0,450,400,4,51,0,19,21,3,0.0,-2.0,0,0
57,2.0,461,340,4,70,0,19,20,3,-4.0,-6.0,0,0
58,2.0,456,380,4,70,0,19,20,3,-0.5833333333333334,4.049999999999997,0,0
59,35.0,357,200,4,120,0,16,20,10,215.0,1.2833333333333314,6,0
60,35.0,351,190,41,23,0,7,8,10,0.3666666666666665,0.8999999999999986,6,0
61,35.0,384,280,58,120,2,14,16,10,73.93333333333334,-4.18333333333333,6,0
62,35.0,381,270,41,131,2,6,7,10,46.0,14.049999999999995,6,0
63,35.0,395,390,19,120,6,14,16,10,2.4,2.3666666666666742,6,0
64,35.0,398,380,41,16,4,9,12,10,46.46666666666667,3.7833333333333314,6,0
65,2.0,453,380,4,115,1,19,21,3,-1.0,2.0,0,0
66,2.0,458,360,4,115,0,19,21,3,-1.85,-2.7333333333333343,0,0
