,airport,cloud_altitude,cloud_friendly,cloud_type,conditions,pressure,raw_data,temp_air,temp_dewpoint,temp_relhum,time,visibility,wind_direction,wind_friendly,wind_speed,wind_speed_gust
0,KATL,400,Overcast skies,OVC,BR,30.25,KATL 301252Z 10008KT 5SM BR OVC004 23/21 A3025 RMK AO2 SLP235 CIG 003V006 T02280211,23,21,91,1538311920,5.0,100,Light winds,8,0
1,KATL,400,Overcast skies,OVC,BR,30.24,KATL 301152Z 09007KT 6SM BR OVC004 22/21 A3024 RMK AO2 SLP229 CIG 003V005 T02220206 10228 20222 51015,22,21,91,1538308320,6.0,90,Light winds,7,0
2,KATL,400,Overcast skies,OVC,BR,30.22,KATL 301052Z 08006KT 6SM BR OVC004 22/21 A3022 RMK AO2 SLP223 CIG 003V005 T02220211,22,21,94,1538304720,6.0,80,Light winds,6,0
3,KATL,400,Overcast skies,OVC,BR,30.21,KATL 300952Z 07006KT 6SM BR OVC004 22/21 A3021 RMK AO2 SLP218 T02220206,22,21,91,1538301120,6.0,70,Light winds,6,0
4,KATL,400,Overcast skies,OVC,BR,30.2,KATL 300911Z 12006KT 6SM BR OVC004 22/21 A3020 RMK AO2 T02220206,22,21,91,1538298660,6.0,120,Light winds,6,0
5,KATL,500,Overcast skies,OVC,,30.19,KATL 300852Z 10004KT 7SM OVC005 22/21 A3019 RMK AO2 SLP213 CIG 004V006 T02220206 56003,22,21,91,1538297520,7.0,100,Light winds,4,0
6,KATL,600,Scattered clouds,BKN,,30.19,KATL 300839Z 09006KT 7SM BKN006 OVC029 22/20 A3019 RMK AO2 T02220200,22,20,88,1538296740,7.0,90,Light winds,6,0
7,KATL,1300,Scattered clouds,BKN,,30.19,KATL 300752Z 09005KT 10SM FEW008 BKN013 OVC035 22/21 A3019 RMK AO2 SLP213 T02220206,22,21,91,1538293920,10.0,90,Light winds,5,0
8,KATL,1300,Scattered clouds,BKN,,30.19,KATL 300748Z 09006KT 10SM FEW008 BKN013 OVC035 22/20 A3019 RMK AO2,22,20,89,1538293680,10.0,90,Light winds,6,0
9,KATL,3500,Scattered clouds,FEW,,30.2,KATL 300652Z 12004KT 10SM FEW035 FEW200 23/20 A3020 RMK AO2 SLP216 T02280200,23,20,85,1538290320,10.0,120,Light winds,4,0
10,KATL,3500,Scattered clouds,FEW,,30.19,KATL 300552Z 11003KT 10SM FEW035 FEW200 23/21 A3019 RMK AO2 SLP211 T02280206 10278 20228 58003,23,21,88,1538286720,10.0,110,Calm winds,3,0
11,KATL,3500,Scattered clouds,SCT,,30.2,KATL 300452Z 14003KT 10SM SCT035 SCT047 SCT085 SCT200 23/21 A3020 RMK AO2 SLP215 T02330206 403110211,23,21,86,1538283120,10.0,140,Calm winds,3,0
12,KATL,25000,Scattered clouds,BKN,,30.24,KATL 010052Z 11005KT 10SM FEW050 FEW080 SCT200 BKN250 25/21 A3024 RMK AO2 SLP231 T02500206,25,21,78,1538355120,10.0,110,Light winds,5,0
13,KATL,25000,Scattered clouds,BKN,,30.21,KATL 302352Z 11007KT 10SM FEW027 FEW080 SCT200 BKN250 25/21 A3021 RMK AO2 SLP223 T02500206 10294 20250 53005,25,21,78,1538351520,10.0,110,Light winds,7,0
