       support                                           itemsets  length
5787  0.002070          (American Airlines, False, C, A319, KMCO)       5
5938  0.002070           (KLAX, E, Southwest Airlines, Sat, B737)       5
5935  0.002070                        (E, KSMF, False, Sat, B737)       5
5934  0.002070         (E, False, Southwest Airlines, KSFO, B737)       5
5928  0.002070         (E, KMEM, False, Southwest Airlines, B737)       5
5927  0.002070         (E, KMDW, False, Southwest Airlines, B737)       5
5926  0.002070                        (E, KMDW, False, Sat, B737)       5
5925  0.002070         (KLAX, E, False, Southwest Airlines, B737)       5
5924  0.002070                        (KLAX, E, False, Sat, B737)       5
5922  0.002070          (D, Sun, False, Southwest Airlines, B737)       5
5939  0.002070           (E, KMDW, Southwest Airlines, Sat, B737)       5
5914  0.002070          (E145, KMDT, B, False, Piedmont Airlines)       5
5911  0.002070                      (unkown, BE9L, B, Mon, False)       5
5895  0.002070          (E, American Airlines, KDEN, False, B738)       5
5893  0.002070           (D, Wed, American Airlines, False, B738)       5
5885  0.002070          (D, American Airlines, False, KCLT, B738)       5
5872  0.002070         (E, A343, Lufthansa CityLine, False, EDDF)       5
5862  0.002070             (Thu, A321, E, Delta Air Lines, False)       5
5860  0.002070             (A321, E, Delta Air Lines, False, Fri)       5
5859  0.002070           (A321, E, Wed, American Airlines, False)       5
5840  0.002070            (KLAX, E, False, A320, Spirit Airlines)       5
5912  0.002070                      (Sun, unkown, BE9L, B, False)       5
5839  0.002070                        (Thu, E, False, KJFK, A320)       5
5944  0.002070       (KDEN, False, Southwest Airlines, Sat, B737)       5
5951  0.002070       (KSMF, False, Southwest Airlines, Sat, B737)       5
6098  0.002070          (E, KDAL, False, Southwest Airlines, Sat)       5
6096  0.002070             (E, KORD, False, Fri, United Airlines)       5
6094  0.002070             (Thu, E, E190, JetBlue Airways, False)       5
6087  0.002070             (E, Delta Air Lines, False, KJFK, Fri)       5
6084  0.002070                 (D, KGPI, Horizon Air, True, E75L)       5
6083  0.002070            (D, Wed, False, E75L, SkyWest Airlines)       5
6059  0.002070             (D, E190, JetBlue Airways, False, Fri)       5
6051  0.002070                   (D, Mon, False, Envoy Air, E135)       5
6037  0.002070           (E, CRJ7, False, SkyWest Airlines, KIAH)       5
6104  0.002070          (E, False, KPDX, Southwest Airlines, Sat)       5
6036  0.002070               (PSA Airlines, E, False, KDAY, CRJ7)       5
6019  0.002070                (D, PSA Airlines, CRJ2, False, Fri)       5
6002  0.002070                (PSA Airlines, CRJ2, False, Sat, C)       5
5993  0.002070             (Sun, E, Delta Air Lines, B763, False)       5
5992  0.002070             (E, Delta Air Lines, Mon, B763, False)       5
5987  0.002070             (E, Delta Air Lines, B752, Mon, False)       5
