       support                                           itemsets  length
5768  0.002070            (E, American Airlines, KDFW, True, Sat)       5
5719  0.002070              (A321, E, Delta Air Lines, True, Fri)       5
5718  0.002070            (A321, E, Wed, American Airlines, True)       5
5857  0.002070                  (Horizon Air, KPDX, DH8D, C, Fri)       5
5859  0.002070                         (True, KPDX, DH8D, C, Fri)       5
5860  0.002070                  (Mon, Horizon Air, KPDX, DH8D, C)       5
5861  0.002070                  (Thu, Horizon Air, KPDX, DH8D, C)       5
5792  0.002070         (E, KPHX, False, Southwest Airlines, B737)       5
5854  0.002070             (E, KDEN, True, B788, United Airlines)       5
5791  0.002070                        (E, KPHX, False, Sat, B737)       5
5709  0.002070            (D, A321, American Airlines, True, Sat)       5
5787  0.002070           (D, KDEN, Southwest Airlines, Sat, B737)       5
5707  0.002070           (D, A321, American Airlines, True, KPHL)       5
5786  0.002070          (D, KBWI, True, Southwest Airlines, B737)       5
5705  0.002070           (Sun, KBWI, True, A320, Spirit Airlines)       5
5871  0.002070                  (Horizon Air, True, KPDX, C, Fri)       5
5703  0.002070              (Sun, E, True, A320, United Airlines)       5
5710  0.002070           (A321, E, American Airlines, False, Sat)       5
5701  0.002070             (E, True, A320, KSEA, United Airlines)       5
5848  0.002070              (E, Delta Air Lines, B763, True, Fri)       5
5845  0.002070             (E, Delta Air Lines, B752, True, KJFK)       5
5814  0.002070        (KFLL, True, Southwest Airlines, Sat, B737)       5
5739  0.002070           (D, American Airlines, KBOS, True, B738)       5
5820  0.002070              (E, Delta Air Lines, Mon, True, B738)       5
5821  0.002070              (Thu, E, Delta Air Lines, True, B738)       5
5736  0.002070       (B739, E, True, KSEA, Alaska Airlines, Inc.)       5
5824  0.002070                         (Sun, E, KEWR, True, B738)       5
5827  0.002070                         (E, KLAS, True, Sat, B738)       5
5846  0.002070             (E, Delta Air Lines, B752, True, KMCO)       5
5828  0.002070           (E, Southwest Airlines, Sat, KMCO, B738)       5
5731  0.002070               (D, KDEN, Air Wisconsin, CRJ2, True)       5
5836  0.002070              (B739, E, Delta Air Lines, KMSP, Fri)       5
5838  0.002070              (B739, Thu, E, Delta Air Lines, KMSP)       5
5728  0.002070                   (Lufthansa, E, A343, True, KSAN)       5
5800  0.002070           (E, KLAS, Southwest Airlines, Sat, B737)       5
5799  0.002070          (KFLL, E, True, Southwest Airlines, B737)       5
5843  0.002070              (B739, E, True, Sat, United Airlines)       5
5801  0.002070                         (E, KLAS, True, Sat, B737)       5
5700  0.002070             (E, True, A320, KLGA, United Airlines)       5
5702  0.002070              (Sun, E, True, A320, Spirit Airlines)       5
5878  0.002070              (Sun, PSA Airlines, KDCA, CRJ2, True)       5
5679  0.002070              (Sun, D, True, A320, Spirit Airlines)       5
5934  0.002070              (Thu, D, KBWI, True, Spirit Airlines)       5
5935  0.002070             (D, KDEN, True, Sat, SkyWest Airlines)       5
5940  0.002070               (Horizon Air, True, KPDX, DH8D, Fri)       5
5675  0.002070           (E, American Airlines, KDFW, True, A320)       5
5952  0.002070           (E, KDEN, E170, True, Republic Airlines)       5
5956  0.002070             (KFLL, E, Wed, JetBlue Airways, False)       5
5671  0.002070                  (E, Air Canada, True, A320, KLGA)       5
5670  0.002070             (E, True, KSFO, A319, United Airlines)       5
5669  0.002070  (E, Transportes Aéreos I. R. Crusoe, True, KMC...       5
5778  0.002070            (E, American Airlines, True, KPHL, Tue)       5
5665  0.002070           (E, KPHX, American Airlines, True, A319)       5
5970  0.002070           (E, True, Southwest Airlines, Sat, KSAN)       5
5663  0.002070          (E, KPHX, American Airlines, False, A319)       5
5771  0.002070            (E, American Airlines, True, Sat, KMIA)       5
5876  0.002070                 (Sun, PSA Airlines, D, CRJ2, True)       5
5933  0.002070              (Sun, D, KBWI, True, Spirit Airlines)       5
5680  0.002070             (E, Delta Air Lines, True, A320, KMCO)       5
5683  0.002070             (E, Wed, JetBlue Airways, False, A320)       5
5756  0.002070            (E, American Airlines, Tue, True, B738)       5
5883  0.002070             (D, True, Sat, SkyWest Airlines, CRJ7)       5
5886  0.002070                (PSA Airlines, E, KDCA, True, CRJ7)       5
5758  0.002070         (American Airlines, True, Sat, B738, KMIA)       5
5759  0.002070         (Thu, American Airlines, True, B738, KMIA)       5
5931  0.002070           (D, True, E75S, Republic Airlines, KPHL)       5
5899  0.002070                  (D, E145, True, ExpressJet, KIAH)       5
5902  0.002070                    (D, E170, True, Envoy Air, Sat)       5
5691  0.002070             (KLAX, E, JetBlue Airways, True, A320)       5
5688  0.002070              (Thu, KFLL, E, JetBlue Airways, A320)       5
5687  0.002070              (KFLL, Sun, E, JetBlue Airways, A320)       5
5904  0.002070                  (D, E45X, True, ExpressJet, KIAH)       5
5685  0.002070              (E, True, A320, Fri, United Airlines)       5
5912  0.002070            (D, KDFW, True, E75L, SkyWest Airlines)       5
5808  0.002070          (E, True, Southwest Airlines, KSAN, B737)       5
5797  0.002329             (E, KEWR, True, B737, United Airlines)       5
5781  0.002329                       (unkown, BE9L, B, Mon, True)       5
5776  0.002329            (Sun, E, American Airlines, True, KPHL)       5
5775  0.002329            (E, American Airlines, True, Sat, KPHL)       5
5798  0.002329           (KFLL, E, Southwest Airlines, Sat, B737)       5
5802  0.002329          (E, KLAS, True, Southwest Airlines, B737)       5
5805  0.002329                         (E, KMDW, True, Sat, B737)       5
5779  0.002329            (E, Wed, American Airlines, True, KPHL)       5
5661  0.002329       (D, True, KSFO, Alaska Airlines, Inc., A319)       5
5813  0.002329        (KDEN, True, Southwest Airlines, Sat, B737)       5
5971  0.002329         (E145, True, Piedmont Airlines, Sat, KPHL)       5
5966  0.002329           (KFLL, E, True, Southwest Airlines, Sat)       5
5961  0.002329              (Thu, KFLL, E, JetBlue Airways, True)       5
5959  0.002329              (KFLL, E, JetBlue Airways, True, Fri)       5
5948  0.002329              (Sun, E, Delta Air Lines, True, KMSP)       5
5894  0.002329                    (D, True, Envoy Air, E135, Fri)       5
5893  0.002329                  (D, KDFW, False, Envoy Air, E135)       5
5887  0.002329                      (D, unkown, KBOS, True, CRJ9)       5
5879  0.002329              (GoJet Airlines, D, KDTW, True, CRJ7)       5
5869  0.002329            (KLAS, True, E75L, SkyWest Airlines, C)       5
5868  0.002329             (E190, JetBlue Airways, KBOS, True, C)       5
5867  0.002329      (KCPR, E145, Trans States Airlines, False, C)       5
5866  0.002329                  (Sun, Horizon Air, True, DH8D, C)       5
5770  0.002329            (Thu, E, American Airlines, KDFW, True)       5
5849  0.002329              (Thu, E, Delta Air Lines, B763, True)       5
5841  0.002329              (B739, Thu, E, Delta Air Lines, True)       5
5840  0.002329              (B739, E, Delta Air Lines, True, Sat)       5
5829  0.002329                         (E, True, Sat, KMCO, B738)       5
5819  0.002329             (E, Delta Air Lines, True, KJFK, B738)       5
5806  0.002329          (E, KMDW, True, Southwest Airlines, B737)       5
5864  0.002329                  (Mon, Horizon Air, True, DH8D, C)       5
5818  0.002329             (E, Delta Air Lines, KBOS, True, B738)       5
5735  0.002329       (E, KEWR, True, Alaska Airlines, Inc., B738)       5
5681  0.002329             (E, Delta Air Lines, True, A320, KMSP)       5
5677  0.002329             (D, KDTW, JetBlue Airways, True, A320)       5
5713  0.002329           (A321, E, American Airlines, KDFW, True)       5
5694  0.002329              (E, JetBlue Airways, True, A320, Sat)       5
5760  0.002329           (E, American Airlines, B752, True, KPHL)       5
5761  0.002329           (E, American Airlines, B763, True, KJFK)       5
5708  0.002329            (D, A321, American Airlines, Mon, True)       5
5704  0.002329              (Thu, E, True, A320, United Airlines)       5
5725  0.002329             (E, Delta Air Lines, KDTW, True, A332)       5
5667  0.002329             (E, Delta Air Lines, True, KJFK, A319)       5
5693  0.002329              (E, JetBlue Airways, Mon, True, A320)       5
5764  0.002329            (D, American Airlines, True, Sat, KMIA)       5
5664  0.002329           (E, American Airlines, KDFW, True, A319)       5
5721  0.002329              (Thu, A321, E, Delta Air Lines, True)       5
5880  0.002587               (D, True, Mesa Airlines, KLGA, CRJ7)       5
5882  0.002587             (D, Mon, True, SkyWest Airlines, CRJ7)       5
5767  0.002587            (E, American Airlines, KDFW, Mon, True)       5
5877  0.002587             (D, CRJ2, True, Sat, SkyWest Airlines)       5
5858  0.002587                  (Horizon Air, True, DH8D, C, Fri)       5
5852  0.002587               (E, B77L, True, Qatar Airways, KIAH)       5
5722  0.002587                  (E, True, KJFK, A332, Air Serbia)       5
