,aircrafttype,filed_airspeed_kts,filed_altitude,origin,destination,filed_departuretime_hr,estimatedarrivaltime_hr,airline,dep_delay_min,diff_flt,aircraft_manuf,cloud_altitude,temp,dewpoint,visibility,wind_speed,gust_speed,delay
0,1,430,296,13,2,19,20,6,1.0,-3.0,1,25000.0,19.0,19.0,10.0,3.0,0.0,0
12,12,410,270,13,2,20,21,4,7.333333333333332,-3.3333333333333366,2,25000.0,19.0,19.0,10.0,3.0,0.0,0
42,1,450,360,13,5,19,21,6,-0.85,-19.75,1,25000.0,24.0,24.0,10.0,4.0,0.0,0
43,1,450,360,13,5,19,21,6,4.466666666666667,-18.86666666666666,1,12000.0,21.0,21.0,10.0,3.0,0.0,0
53,8,450,380,13,41,19,21,14,16.95,-3.950000000000003,0,12000.0,21.0,21.0,10.0,3.0,0.0,0
65,8,453,380,13,73,19,21,14,-1.0,2.0,0,12000.0,21.0,21.0,10.0,3.0,0.0,0
69,4,450,380,13,10,19,21,6,7.066666666666666,-6.099999999999994,1,25000.0,24.0,24.0,10.0,4.0,0.0,0
70,4,450,360,13,10,19,21,6,4.05,-8.450000000000003,1,12000.0,21.0,21.0,10.0,3.0,0.0,0
82,0,459,360,13,25,19,21,14,7.083333333333332,-5.416666666666656,0,12000.0,21.0,21.0,10.0,3.0,0.0,0
90,1,430,296,13,2,19,20,6,1.0,-3.0,1,25000.0,19.0,19.0,10.0,3.0,0.0,0
102,12,400,270,13,2,20,22,4,85.0,1.5833333333333357,2,25000.0,22.0,22.0,10.0,4.0,0.0,0
103,12,410,270,13,2,20,21,4,7.333333333333332,-3.3333333333333366,2,25000.0,19.0,19.0,10.0,3.0,0.0,0
114,9,362,190,13,11,20,21,12,53.0,-37.0,2,25000.0,22.0,22.0,10.0,4.0,0.0,0
134,1,450,360,13,5,19,21,6,-0.85,-19.75,1,25000.0,24.0,24.0,10.0,4.0,0.0,0
